Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,1174,,,,,,,US 8429108 B2,2013-04-23,38694503,23,Fast computation of compact poset isomorphism certificates using position weights,G06F17/10,,Eusterbrock; Jutta,"Geistiges Eigentum, Inc.",12/300288,2007-05-11,Vincent; David,,706/45,,Eusterbrock; Jutta,,,8.975947,,8429108,B2,USPAT,8429108
checked,,1175,,,,,,,US 7549077 B2,2009-06-16,37188339,14,"Automated self-forming, self-healing configuration permitting substitution of software agents to effect a live repair of a system implemented on hardware processors",H04Q3/0079,,White; Barry C. et al.,The United States of America as represented by the Secretary of the Army,11/116171,2005-04-22,Lohn; Joshua A,,714/4.12,714/10,,,,11.991936,,7549077,B2,USPAT,7549077
checked,,1177,,,,,,,US 7926438 B2,2011-04-19,40586839,7,Subsea operations support system,B63G8/001;B63C11/52,,Guerrero; Julio C. et al.,Schlumberger Technology Corporation,11/935212,2007-11-05,Avila; Stephen,,114/312,114/322,,,,15.723584,,7926438,B2,USPAT,7926438
checked,,1179,,,,,,,US 8195343 B2,2012-06-05,40453894,25,"4D GIS virtual reality for controlling, monitoring and prediction of manned/unmanned system",G01S19/49,,Lin; Ching-Fang,,12/154033,2008-05-19,Zanelli; Michael J.,,701/2,701/522;701/526;340/539.13;701/482;701/472,,,,13.742748,,8195343,B2,USPAT,8195343
checked,,1181,,,,,,,US 7904209 B2,2011-03-08,39970272,49,Open web services-based indoor climate control system,F24F11/58;F24F11/77;G05B15/02;F24F11/64;F24F11/523,G05B2219/2642;F24F11/30;F24F2120/00;F24F2120/10,Podgorny; Marek et al.,Syracuse University,12/041472,2008-03-03,Kasenge; Charles R,,700/276,700/278;700/299;700/277,,,,9.718023,,7904209,B2,USPAT,7904209
checked,,1183,,,,,,,US 8121729 B2,2012-02-21,38181210,10,Remote diagnostic system for robots,B25J9/1674,G05B2219/33284;G05B2219/39412,Blanc; Dominique et al.,ABB Research Ltd.,12/068922,2008-02-13,Black; Thomas,Louie; Wae,700/248,700/245;700/108;702/185;380/277;702/184,,,,24.289513,,8121729,B2,USPAT,8121729
checked,,1187,,,,,,,US 8276115 B2,2012-09-25,39717213,24,Automated construction and deployment of complex event processing applications and business activity monitoring dashboards,G06Q10/00,,Bates; John et al.,Progress Software Corporation,12/025586,2008-02-04,Das; Chameli,,717/106,717/109;715/779;717/113;717/105,,,,12.17247,,8276115,B2,USPAT,8276115
checked,,1191,,,,,,,US 8127390 B2,2012-03-06,39571785,15,Robot for cleaning wall/window,A47L1/02;B62D57/024,A47L2201/04;A47L2201/00,Kim; Yong Wook,,12/025166,2008-02-04,Carter; Monica,Newton; Stephanie,15/50.1,901/1;901/46;901/40;15/103;700/245;901/30,,,,16.350422,,8127390,B2,USPAT,8127390
checked,,1193,,,,,,,US 7912191 B2,2011-03-22,39468301,22,Method and system for monitoring traffic revenue flows for communications companies,G06Q10/10;H04M15/52;H04M15/73;G06Q30/04;H04M15/44;H04M15/81;H04M15/51;H04M15/70;H04M15/58;H04M15/41;H04M15/43;H04M15/735;H04M15/00,H04M2215/0164;H04M2215/0112;H04M2215/7081;H04M2215/0188;H04M2215/70;H04M2215/0104;H04M2215/7072;H04M2215/54,Bencheqroun; Mehdi et al.,Araxxe,11/606035,2006-11-30,Ramakrishnaiah; Melur,,379/114.04,455/406;379/114.03;455/408,,,,16.13865,,7912191,B2,USPAT,7912191
checked,,1196,,,,,,,US 7627966 B2,2009-12-08,38461420,12,Off-fall control for a trenching operation,E02F9/264;E02F5/02,,Koch; Roger D. et al.,Caterpillar Inc.,11/495554,2006-07-31,Pezzuto; Robert E,,37/348,37/195,,,,20.778667,,7627966,B2,USPAT,7627966
checked,,1201,,,,,,,US 8077026 B2,2011-12-13,38229692,19,Technician communications for automated building protection systems,G08B25/009;G08B29/22;G08B25/14,,Jobe; Michael L. et al.,"Siemens Industry, Inc.",11/425901,2006-06-22,Lau; Hoi,,340/506,340/525;340/539.2;340/539.18;340/539.1;340/514,,,,13.870947,,8077026,B2,USPAT,8077026
checked,,1204,,,,,,,US 7474980 B2,2009-01-06,38286637,19,Automated tool for monitoring archaeological sites (ATMAS.TM.),G06Q10/06;G06Q10/04;G06Q10/087,,Hargrave; Michael L. et al.,The United States of America as represented by the Secretary of the Army,11/340819,2006-01-24,Le; John H,,702/127,702/188;702/182;702/184;705/28,,,,19.54364,,7474980,B2,USPAT,7474980
checked,,1206,,,,,,,US 7312703 B2,2007-12-25,37986350,15,Initialization of a sensor for monitoring the structural integrity of a building,H04L67/125;G08B29/22;G08B25/10;G08B25/009;G08B21/20;G08B25/003,,Hoogenboom; Christopher L.,,11/254953,2005-10-20,Lieu; Julie Bichngoc,,340/540,717/166;340/286.02;340/635;717/100;717/167;702/104,,,,18.846794,,7312703,B2,USPAT,7312703
checked,,1210,,,,,,,US 7485871 B2,2009-02-03,37185895,10,High radiation environment tunnel monitoring system and method,G01T1/185;G01T7/00,,Gates; Tell A. et al.,"Celestech, Inc.",11/385648,2006-03-22,Porta; David P,Baker; David S,250/394,376/274;340/600,,,,25.209461,,7485871,B2,USPAT,7485871
checked,,1212,,,,,,,US 8309934 B2,2012-11-13,37185895,10,High radiation environment tunnel monitoring system and method,G01T1/185;G01T7/00,,Gates; Tell A. et al.,"Celestech, Inc.",12/320619,2009-01-30,Kim; Kiho,,250/394,,,,,25.209461,,8309934,B2,USPAT,8309934
checked,,1214,,,,,,,US 7873428 B2,2011-01-18,37109585,8,Automated job management,G06Q10/10,,Ellis; Ray et al.,"PEER Intellectual Property, Inc.",11/107508,2005-04-15,DeCady; Albert,Chang; Sunray R,700/96,700/95;700/121;709/223;709/203;709/227,,,,12.429795,,7873428,B2,USPAT,7873428
checked,,1216,,,,,,,US 7243050 B2,2007-07-10,37036268,13,"Devices and systems for remote and automated monitoring and control of water removal, mold remediation, and similar work",G08B21/20;G05D22/02,F24F11/52;E04B1/7007;F24F11/56,Armstrong; Jay T.,,11/073172,2005-03-05,Bui; Bryan,,702/188,702/182,,,,15.58131,,7243050,B2,USPAT,7243050
checked,,1218,,,,,,,US 7253741 B2,2007-08-07,37009736,9,Automated system to monitor multiple sources of water leaks in residential and commercial buildings,G08B25/14;G08B21/20;G08B5/18,Y10T137/5762,Fiorletta; Carl A. et al.,,11/078875,2005-03-14,Swarthout; Brent A.,,340/605,137/312;122/504,,,,10.438833,,7253741,B2,USPAT,7253741
checked,2,1220,,,,,,,US 7080141 B1,2006-07-18,36659240,15,Arrangement for automated fault detection and fault resolution of a network device,G06F11/0709;H04L41/064,G06F11/079,Baekelmans; John et al.,"Cisco Technology, Inc.",10/120401,2002-04-12,Dharia; Rupal,Serrao; Ranodhi,709/224,709/220;709/202,,,,9.913985,,7080141,B1,USPAT,7080141
checked,,1222,,,,,,,US 7509415 B2,2009-03-24,36659240,15,Arrangement for automated fault detection and fault resolution of a network device,G06F11/0709;H04L41/064,G06F11/079,Baekelmans; John et al.,"Cisco Technology, Inc.",11/441060,2006-05-26,Follansbee; John,Serrao; Ranodhi N,709/224,709/223,,,,12.672344,,7509415,B2,USPAT,7509415
checked,,1224,,,,,,,US 7403838 B2,2008-07-22,36612831,16,Messaging system based building control,G05B15/02;G05B19/042,G05B2219/25168,Deen; Damon M. et al.,General Instrument Corporation,11/302777,2005-12-14,Patel; Ramesh,,700/276,715/758;709/229;709/227;700/277;700/19;709/217;709/228;379/102.05;379/102.01;700/66;700/65,,,,11.492901,,7403838,B2,USPAT,7403838
checked,,1225,,,,,,,US 7066707 B1,2006-06-27,26776942,50,Wafer engine,H10P72/3402;H10P72/3408;H10P72/3411;H10P72/7602,Y10S414/137,Bonora; Anthony C. et al.,"Asyst Technologies, Inc.",10/087400,2002-03-01,Brahan; Thomas J.,,414/744.3,901/17;414/937;414/749.4,,,,11.368018,,7066707,B1,USPAT,7066707
checked,,1227,,,,,,,US 7657545 B2,2010-02-02,31500196,22,Automated application discovery and analysis system and method,G06F16/289;G06Q10/063;G06Q10/06375;G06Q10/0635;G06F16/287,,Bird; Stephen Anthony,Intotality Pty Ltd,11/224494,2005-09-12,Wong; Don,Hwa; Shyue Jiunn,705/7.37,707/827;715/771;707/999.1;715/205,,,,13.758997,,7657545,B2,USPAT,7657545
