Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number,target_xml,reason
checked,1,1108,,,,,,,US 20120215348 A1,2012-08-23,46653416,45,Submersible robotically operable vehicle system for infrastructure maintenance and inspection,B25J9/163;B25J9/0084;B25J11/0085;F16L55/32;B25J3/00;B25J11/008;B25J9/1676;B25J9/1689;B25J9/1661;B25J9/08;B08B9/049,Y10S901/05;F16L2101/12,Skrinde; Richard Arthur,,12/932171,2011-02-19,,,700/245,701/2,,,,20.098639,,20120215348,A1,US-PGPUB,20120215348,,no_file_in_range
checked,1,1110,,,,,,,US 20120126700 A1,2012-05-24,46063717,21,Integrated Exit Signs and Monitoring System,G08B19/005;G08B7/062;H05B47/105;H05B47/172;H05B47/19,Y02B20/40,Mayfield; Jerrold W. et al.,,13/299588,2011-11-18,,,315/86,315/118;315/130;315/134,,,,15.79304,,20120126700,A1,US-PGPUB,20120126700,,no_file_in_range
checked,3,1112,,,,,,,US 20120087203 A1,2012-04-12,45925044,25,Automated Mix In-Cup Apparatus and the Method of Operating the Same,B01F27/806;B01F35/20;B01F35/1453;A47J43/044;A47J43/0705;B01F31/40;B01F35/186,A47J31/60,Williams; Brian P. et al.,,12/901636,2010-10-11,,,366/138,99/460,,,,13.4169445,,20120087203,A1,US-PGPUB,20120087203,,no_file_in_range
checked,1,1116,,,,,,,US 20120089726 A1,2012-04-12,45925993,22,AUTOMATED SERVICE LEVEL MANAGEMENT OF APPLICATIONS IN CLOUD COMPUTING ENVIRONMENT,H04L67/34;G06F9/5072,,Doddavula; Shyam Kumar,Infosys Technologies Ltd.,12/950464,2010-11-19,,,709/224,,,,,14.853636,,20120089726,A1,US-PGPUB,20120089726,,no_file_in_range
checked,,1118,,,,,,,US 20120040650 A1,2012-02-16,45565191,38,SYSTEM FOR AUTOMATED DETECTION OF MOBILE PHONE USAGE,H04M3/42357;H04M3/2218;H04M3/2281;G08G1/0175;G08G1/04,H04M2207/18;H04M2242/30,Rosen; Michael,,13/277990,2011-10-20,,,455/414.1,,,,,14.831467,,20120040650,A1,US-PGPUB,20120040650,,no_file_in_range
checked,1,1119,,,,,,,US 20120035797 A1,2012-02-09,44065946,20,AUTONOMOUS MOVING BODY AND CONTROL METHOD THEREOF,G05D1/0274;G05D1/024;G05D1/0272,G05D1/0242;G05D1/0255,Oobayashi; Souichi et al.,TOYOTA JIDOSHA KABUSHIKI KAISHA,13/126860,2009-11-27,,,701/23,701/25;701/301,,,,17.117407,,20120035797,A1,US-PGPUB,20120035797,,no_file_in_range
checked,1,1121,,,,,,,US 20120033851 A1,2012-02-09,45556194,15,"SPATIALLY INTEGRATED AERIAL PHOTOGRAPHY FOR BRIDGE, STRUCTURE, AND ENVIRONMENTAL MONITORING",G06T7/0002,G06T2207/10024;G06T2207/30184;G06T2207/10032,Chen; Shen-En et al.,,13/092452,2011-04-22,,,382/100,,,,,20.752254,,20120033851,A1,US-PGPUB,20120033851,,no_file_in_range
checked,3,1123,,,,,,,US 20120022700 A1,2012-01-26,45494257,52,AUTOMATED FAULT DETECTION AND DIAGNOSTICS IN A BUILDING MANAGEMENT SYSTEM,G05B15/02;G06F11/079;G06Q30/0283;G06Q50/06;H02J13/12;H02J13/1321;H02J13/14,G05B2219/2642;G06F30/13;H02J13/10;H02J2105/425;Y02B70/30;Y02B70/3225;Y02B90/20;Y04S20/00;Y04S20/20;Y04S20/221;Y04S20/222;Y04S40/124;Y04S50/14,Drees; Kirk H. et al.,Johnson Controls Technology Company,13/246644,2011-09-27,,,700/276,705/412;706/52;715/771,,,,14.947665,,20120022700,A1,US-PGPUB,20120022700,,no_file_in_range
checked,1,1127,,,,,,,US 20120001617 A1,2012-01-05,45399222,28,APPARATUS FOR CALIBRATED NON-INVASIVE MEASUREMENT OF ELECTRICAL CURRENT,G01R15/18;G01R15/20;G01R35/005,G01R15/14;G01R15/148,Reynolds; Brett S.,,13/174953,2011-07-01,,,324/74,,,,,8.98398,,20120001617,A1,US-PGPUB,20120001617,,no_file_in_range
checked,1,1129,,,,,,,US 20110320540 A1,2011-12-29,45353556,22,SERVICE MODEL CREATION USING MONITORED DATA OF THE PERFORMANCE MANAGEMENT TOOL,G06Q40/02;G06F11/3419;G06F11/3495;G06F11/3409;G06F11/3006;G06F11/3051,G06F2201/87,Oostlander; Bart et al.,Compuware Corporation,12/823516,2010-06-25,,,709/206,,,,,11.349117,,20110320540,A1,US-PGPUB,20110320540,,no_file_in_range
checked,,1131,,,,,,,US 20110238582 A1,2011-09-29,44657481,9,Service Method For Customer Self-Service And Rapid On-Boarding For Remote Information Technology Infrastructure Monitoring And Management,G06Q30/0283;G06Q30/0621;G06Q50/188,,Dasari; Anthony J. et al.,International Business Machines Corporation,12/729672,2010-03-23,,,705/80,709/224;726/15;705/400;705/26.5,,,,16.219954,,20110238582,A1,US-PGPUB,20110238582,,no_file_in_range
checked,1,1132,,,,,,,US 20110192315 A1,2011-08-11,44352662,30,LINE INSPECTION ROBOT AND SYSTEM,H02G1/02,,Phillips; Andrew John et al.,"ELECTRIC POWER RESEARCH INSTITUTE, INC.",13/024535,2011-02-10,,,104/112,901/44;901/1,,,,23.143435,,20110192315,A1,US-PGPUB,20110192315,,no_file_in_range
checked,,1134,,,,,,,US 20110185962 A1,2011-08-04,43135771,24,HUMANOID TRAFFIC CONTROL ROBOT,E01F9/00,,Choi; In Tack et al.,,13/014234,2011-01-26,,,116/63R,901/15;901/2,,,,33.37917,,20110185962,A1,US-PGPUB,20110185962,,no_file_in_range
checked,,1135,,,,,,,US 20110178935 A1,2011-07-21,42100925,9,Systems And Methods Of Integrated And Automated Generation Of Work Packages,G06Q10/06;G06Q10/103,,Chaubey; Nikhil et al.,FLUOR TECHNOLOGIES CORPORATION,13/120091,2009-10-06,,,705/301,,,,,16.825314,,20110178935,A1,US-PGPUB,20110178935,,no_file_in_range
checked,,1136,,,,,,,US 20110178830 A1,2011-07-21,44278186,45,Computer-Implemented Tools and Method for Developing and Implementing Integrated Model of Strategic Goals,G06Q10/06;G06Q10/063,,Knowles; George Gordon,"COGNITI, INC.",13/010534,2011-01-20,,,705/7.11,,,,,8.701004,,20110178830,A1,US-PGPUB,20110178830,,no_file_in_range
checked,1,1137,,,,,,,US 20110139030 A1,2011-06-16,41722092,25,LARGE RIDEABLE BIPEDAL WALKING ROBOT FOR USE AS AN AMUSEMENT PARK RIDE AND AMUSEMENT PARK SYSTEM USING THE SAME,A63G7/00;A63G31/02,,KIM; In-Sang,,13/032773,2011-02-23,,,104/53,180/8.1,,,,23.12672,,20110139030,A1,US-PGPUB,20110139030,,no_file_in_range
