__row,Source,Kind Code,Document ID,raw_number,norm_number,Date Published,Filing Date
154,USPAT,B1,US 12202634 B1,12202634,12202634,2025-01-21,2023-03-30
155,US-PGPUB,A1,US 20250022076 A1,20250022076,20250022076,2025-01-16,2022-07-27
156,US-PGPUB,A1,US 20250022273 A1,20250022273,20250022273,2025-01-16,2023-07-13
157,USPAT,B2,US 12608939 B2,12608939,12608939,2026-04-21,2023-07-13
158,US-PGPUB,A1,US 20250022373 A1,20250022373,20250022373,2025-01-16,2024-04-15
159,USPAT,B2,US 12562061 B2,12562061,12562061,2026-02-24,2024-04-15
160,US-PGPUB,A1,US 20250018939 A1,20250018939,20250018939,2025-01-16,2024-05-30
161,USPAT,B1,US 12200406 B1,12200406,12200406,2025-01-14,2024-07-03
162,USPAT,B1,US 12197373 B1,12197373,12197373,2025-01-14,2021-02-11
163,US-PGPUB,A1,US 20250014161 A1,20250014161,20250014161,2025-01-09,2022-11-19
164,US-PGPUB,A1,US 20240426471 A1,20240426471,20240426471,2024-12-26,2024-06-14
165,US-PGPUB,A1,US 20240427326 A1,20240427326,20240427326,2024-12-26,2023-06-23
166,US-PGPUB,A1,US 20240430387 A1,20240430387,20240430387,2024-12-26,2024-03-14
167,US-PGPUB,A1,US 20240428681 A1,20240428681,20240428681,2024-12-26,2024-06-14
168,US-PGPUB,A1,US 20240418530 A1,20240418530,20240418530,2024-12-19,2023-06-15
169,USPAT,B2,US 12571646 B2,12571646,12571646,2026-03-10,2023-06-15
170,US-PGPUB,A1,US 20240409114 A1,20240409114,20240409114,2024-12-12,2024-08-20
171,US-PGPUB,A1,US 20240404203 A1,20240404203,20240404203,2024-12-05,2022-08-24
172,USPAT,B2,US 12620176 B2,12620176,12620176,2026-05-05,2022-08-24
173,US-PGPUB,A1,US 20240402113 A1,20240402113,20240402113,2024-12-05,2024-08-05
174,USPAT,B1,US 12159385 B1,12159385,12159385,2024-12-03,2024-06-13
175,US-PGPUB,A1,US 20240395047 A1,20240395047,20240395047,2024-11-28,2024-05-23
176,USPAT,B2,US 12639952 B2,12639952,12639952,2026-05-26,2024-05-23
177,US-PGPUB,A1,US 20240386245 A1,20240386245,20240386245,2024-11-21,2024-05-14
178,US-PGPUB,A1,US 20240381582 A1,20240381582,20240381582,2024-11-14,2023-05-09
179,USPAT,B2,US 12550299 B2,12550299,12550299,2026-02-10,2023-05-09
180,US-PGPUB,A1,US 20260129807 A1,20260129807,20260129807,2026-05-07,2026-01-05
181,USPAT,B1,US 12139279 B1,12139279,12139279,2024-11-12,2020-05-19
182,US-PGPUB,A1,US 20240369083 A1,20240369083,20240369083,2024-11-07,2024-05-02
183,USPAT,B2,US 12313099 B2,12313099,12313099,2025-05-27,2024-05-02
184,US-PGPUB,A1,US 20240339026 A1,20240339026,20240339026,2024-10-10,2022-06-27
185,US-PGPUB,A1,US 20240333578 A1,20240333578,20240333578,2024-10-03,2023-03-31
186,USPAT,B2,US 12395397 B2,12395397,12395397,2025-08-19,2023-03-31
187,US-PGPUB,A1,US 20250323822 A1,20250323822,20250323822,2025-10-16,2025-06-24
188,US-PGPUB,A1,US 20240319047 A1,20240319047,20240319047,2024-09-26,2023-02-08
189,USPAT,B2,US 12306073 B2,12306073,12306073,2025-05-20,2023-02-08
190,USPAT,B1,US 12094200 B1,12094200,12094200,2024-09-17,2023-11-05
191,US-PGPUB,A1,US 20240302003 A1,20240302003,20240302003,2024-09-12,2022-01-14
192,US-PGPUB,A1,US 20240294189 A1,20240294189,20240294189,2024-09-05,2023-03-01
193,US-PGPUB,A1,US 20240294177 A1,20240294177,20240294177,2024-09-05,2023-03-01
194,US-PGPUB,A1,US 20240289112 A1,20240289112,20240289112,2024-08-29,2023-02-28
195,USPAT,B2,US 12271729 B2,12271729,12271729,2025-04-08,2023-02-28
196,US-PGPUB,A1,US 20240286624 A1,20240286624,20240286624,2024-08-29,2023-02-28
197,US-PGPUB,A1,US 20240264596 A1,20240264596,20240264596,2024-08-08,2024-04-17
198,USPAT,B2,US 12360537 B2,12360537,12360537,2025-07-15,2024-04-17
199,US-PGPUB,A1,US 20240265319 A1,20240265319,20240265319,2024-08-08,2024-01-24
200,US-PGPUB,A1,US 20240263544 A1,20240263544,20240263544,2024-08-08,2023-02-06
201,US-PGPUB,A1,US 20240256725 A1,20240256725,20240256725,2024-08-01,2024-01-29
202,US-PGPUB,A1,US 20240246531 A1,20240246531,20240246531,2024-07-25,2023-01-25
203,US-PGPUB,A1,US 20240210330 A1,20240210330,20240210330,2024-06-27,2021-05-10
204,US-PGPUB,A1,US 20240185608 A1,20240185608,20240185608,2024-06-06,2022-12-01
205,US-PGPUB,A1,US 20240168825 A1,20240168825,20240168825,2024-05-23,2023-01-09
206,US-PGPUB,A1,US 20240168479 A1,20240168479,20240168479,2024-05-23,2022-11-21
207,US-PGPUB,A1,US 20240160205 A1,20240160205,20240160205,2024-05-16,2022-11-10
208,USPAT,B2,US 12443182 B2,12443182,12443182,2025-10-14,2022-11-10
209,US-PGPUB,A1,US 20240153264 A1,20240153264,20240153264,2024-05-09,2023-11-02
210,USPAT,B2,US 12062231 B2,12062231,12062231,2024-08-13,2023-11-02
211,US-PGPUB,A1,US 20240141788 A1,20240141788,20240141788,2024-05-02,2022-10-28
212,US-PGPUB,A1,US 20240146619 A1,20240146619,20240146619,2024-05-02,2022-11-01
213,USPAT,B1,US 11985044 B1,11985044,11985044,2024-05-14,2022-11-01
214,US-PGPUB,A1,US 20240125091 A1,20240125091,20240125091,2024-04-18,2021-12-16
215,US-PGPUB,A1,US 20240119201 A1,20240119201,20240119201,2024-04-11,2023-11-14
216,USPAT,B2,US 12197829 B2,12197829,12197829,2025-01-14,2023-11-14
217,US-PGPUB,A1,US 20240103052 A1,20240103052,20240103052,2024-03-28,2023-01-14
218,US-PGPUB,A1,US 20240102683 A1,20240102683,20240102683,2024-03-28,2022-09-26
219,US-PGPUB,A1,US 20240095453 A1,20240095453,20240095453,2024-03-21,2023-06-16
220,USPAT,B2,US 12468892 B2,12468892,12468892,2025-11-11,2023-06-16
221,US-PGPUB,A1,US 20240093895 A1,20240093895,20240093895,2024-03-21,2023-11-06
222,US-PGPUB,A1,US 20240090489 A1,20240090489,20240090489,2024-03-21,2023-09-19
223,US-PGPUB,A1,US 20240078919 A1,20240078919,20240078919,2024-03-07,2023-09-06
224,US-PGPUB,A1,US 20240068951 A1,20240068951,20240068951,2024-02-29,2021-08-09
225,USPAT,B2,US 12072298 B2,12072298,12072298,2024-08-27,2021-08-09
226,US-PGPUB,A1,US 20240050788 A1,20240050788,20240050788,2024-02-15,2021-12-27
227,US-PGPUB,A1,US 20240046804 A1,20240046804,20240046804,2024-02-08,2022-08-04
228,USPAT,B2,US 12451021 B2,12451021,12451021,2025-10-21,2022-08-04
229,US-PGPUB,A1,US 20260018070 A1,20260018070,20260018070,2026-01-15,2025-09-18
230,US-PGPUB,A1,US 20240028920 A1,20240028920,20240028920,2024-01-25,2023-07-19
231,US-PGPUB,A1,US 20240019823 A1,20240019823,20240019823,2024-01-18,2023-07-18
232,US-PGPUB,A1,US 20240028014 A1,20240028014,20240028014,2024-01-25,2023-07-18
233,US-PGPUB,A1,US 20240028011 A1,20240028011,20240028011,2024-01-25,2023-07-18
234,US-PGPUB,A1,US 20240028005 A1,20240028005,20240028005,2024-01-25,2023-07-18
235,US-PGPUB,A1,US 20240027980 A1,20240027980,20240027980,2024-01-25,2023-07-18
236,USPAT,B2,US 12228897 B2,12228897,12228897,2025-02-18,2023-07-18
237,US-PGPUB,A1,US 20260133552 A1,20260133552,20260133552,2026-05-14,2026-01-09
238,USPAT,B1,US 11868869 B1,11868869,11868869,2024-01-09,2023-06-28
239,US-PGPUB,A1,US 20240003151 A1,20240003151,20240003151,2024-01-04,2023-06-30
240,US-PGPUB,A1,US 20240001451 A1,20240001451,20240001451,2024-01-04,2023-06-06
241,US-PGPUB,A1,US 20230386006 A1,20230386006,20230386006,2023-11-30,2023-08-08
242,USPAT,B2,US 11908121 B2,11908121,11908121,2024-02-20,2023-08-08
243,US-PGPUB,A1,US 20230376040 A1,20230376040,20230376040,2023-11-23,2021-09-23
244,USPAT,B2,US 12481282 B2,12481282,12481282,2025-11-25,2021-09-23
245,US-PGPUB,A1,US 20230377025 A1,20230377025,20230377025,2023-11-23,2021-10-06
246,USPAT,B2,US 12462291 B2,12462291,12462291,2025-11-04,2021-10-06
247,US-PGPUB,A1,US 20230375376 A1,20230375376,20230375376,2023-11-23,2023-05-17
248,US-PGPUB,A1,US 20230370338 A1,20230370338,20230370338,2023-11-16,2022-05-16
249,USPAT,B2,US 12184509 B2,12184509,12184509,2024-12-31,2022-05-16
250,US-PGPUB,A1,US 20230368074 A1,20230368074,20230368074,2023-11-16,2023-04-25
251,US-PGPUB,A1,US 20230359647 A1,20230359647,20230359647,2023-11-09,2021-03-01
252,US-PGPUB,A1,US 20230359736 A1,20230359736,20230359736,2023-11-09,2022-08-23
253,USPAT,B2,US 12326935 B2,12326935,12326935,2025-06-10,2022-08-23
254,US-PGPUB,A1,US 20230350066 A1,20230350066,20230350066,2023-11-02,2021-06-21
