norm_number,Patent Number,Kind Code,Date Published,Filing Date,target_xml
10353694,10353694,B1,2019-07-16,2018-01-12,ipg190716.xml
10821971,10821971,B1,2020-11-03,2018-02-13,ipg201103.xml
10831191,10831191,B1,2020-11-10,2018-03-26,ipg201110.xml
11127290,11127290,B1,2021-09-21,2015-11-06,ipg210921.xml
11645064,11645064,B2,2023-05-09,2020-10-23,ipg230509.xml
12032945,12032945,B2,2024-07-09,2023-04-13,ipg240709.xml
12524219,12524219,B2,2026-01-13,2022-10-27,ipg260113.xml
11074292,11074292,B2,2021-07-27,2018-12-21,ipg210727.xml
10817402,10817402,B2,2020-10-27,2018-01-03,ipg201027.xml
11199823,11199823,B2,2021-12-14,2017-12-22,ipg211214.xml
11135611,11135611,B2,2021-10-05,2018-10-31,ipg211005.xml
11717843,11717843,B2,2023-08-08,2021-09-06,ipg230808.xml
11724275,11724275,B2,2023-08-15,2021-09-06,ipg230815.xml
11931754,11931754,B2,2024-03-19,2021-09-06,ipg240319.xml
11014238,11014238,B2,2021-05-25,2017-11-27,ipg210525.xml
12005586,12005586,B2,2024-06-11,2021-05-11,ipg240611.xml
10783680,10783680,B2,2020-09-22,2019-01-16,ipg200922.xml
11908048,11908048,B2,2024-02-20,2020-08-21,ipg240220.xml
11273575,11273575,B2,2022-03-15,2017-04-11,ipg220315.xml
11022976,11022976,B2,2021-06-01,2017-04-07,ipg210601.xml
11105662,11105662,B2,2021-08-31,2018-11-02,ipg210831.xml
11001319,11001319,B2,2021-05-11,2018-09-27,ipg210511.xml
11014667,11014667,B2,2021-05-25,2018-03-27,ipg210525.xml
11017189,11017189,B2,2021-05-25,2018-10-11,ipg210525.xml
10692365,10692365,B2,2020-06-23,2018-09-19,ipg200623.xml
11430328,11430328,B2,2022-08-30,2020-01-30,ipg220830.xml
11881101,11881101,B2,2024-01-23,2022-05-11,ipg240123.xml
11495118,11495118,B2,2022-11-08,2018-06-26,ipg221108.xml
11875665,11875665,B2,2024-01-16,2022-10-20,ipg240116.xml
10909866,10909866,B2,2021-02-02,2018-11-05,ipg210202.xml
12046145,12046145,B2,2024-07-23,2020-11-25,ipg240723.xml
12094355,12094355,B2,2024-09-17,2020-11-25,ipg240917.xml
12112650,12112650,B2,2024-10-08,2020-11-25,ipg241008.xml
12322294,12322294,B2,2025-06-03,2020-11-25,ipg250603.xml
10225005,10225005,B1,2019-03-05,2018-03-09,ipg190305.xml
10682989,10682989,B2,2020-06-16,2018-08-29,ipg200616.xml
10776880,10776880,B2,2020-09-15,2017-12-22,ipg200915.xml
10977740,10977740,B2,2021-04-13,2020-04-30,ipg210413.xml
11875410,11875410,B2,2024-01-16,2021-03-10,ipg240116.xml
10732011,10732011,B2,2020-08-04,2017-11-22,ipg200804.xml
11231709,11231709,B2,2022-01-25,2018-08-06,ipg220125.xml
10727930,10727930,B2,2020-07-28,2018-07-30,ipg200728.xml
11449050,11449050,B2,2022-09-20,2018-07-19,ipg220920.xml
11467574,11467574,B2,2022-10-11,2018-07-19,ipg221011.xml
10181161,10181161,B1,2019-01-15,2015-05-15,ipg190115.xml
11481714,11481714,B2,2022-10-25,2017-12-20,ipg221025.xml
10917483,10917483,B2,2021-02-09,2018-06-22,ipg210209.xml
11553055,11553055,B2,2023-01-10,2021-01-07,ipg230110.xml
10516351,10516351,B2,2019-12-24,2016-09-20,ipg191224.xml
11260545,11260545,B2,2022-03-01,2020-10-07,ipg220301.xml
10628253,10628253,B2,2020-04-21,2018-05-15,ipg200421.xml
10534337,10534337,B2,2020-01-14,2017-05-04,ipg200114.xml
11137732,11137732,B2,2021-10-05,2019-12-16,ipg211005.xml
10100541,10100541,B1,2018-10-16,2017-03-30,ipg181016.xml
10081366,10081366,B1,2018-09-25,2016-05-04,ipg180925.xml
10372143,10372143,B2,2019-08-06,2018-03-19,ipg190806.xml
10614222,10614222,B2,2020-04-07,2017-02-21,ipg200407.xml
10303443,10303443,B2,2019-05-28,2017-03-09,ipg190528.xml
10664242,10664242,B2,2020-05-26,2017-09-15,ipg200526.xml
10354501,10354501,B2,2019-07-16,2016-11-08,ipg190716.xml
10574559,10574559,B2,2020-02-25,2016-11-10,ipg200225.xml
10999180,10999180,B2,2021-05-04,2020-01-28,ipg210504.xml
10880623,10880623,B2,2020-12-29,2017-06-11,ipg201229.xml
10372591,10372591,B2,2019-08-06,2016-09-07,ipg190806.xml
9906413,9906413,B1,2018-02-27,2014-12-18,ipg180227.xml
9898558,9898558,B1,2018-02-20,2017-04-20,ipg180220.xml
10146892,10146892,B2,2018-12-04,2018-01-11,ipg181204.xml
10169444,10169444,B2,2019-01-01,2016-08-15,ipg190101.xml
10962133,10962133,B2,2021-03-30,2016-11-10,ipg210330.xml
12540687,12540687,B1,2026-02-03,2022-10-06,ipg260203.xml
10580310,10580310,B2,2020-03-03,2017-07-11,ipg200303.xml
11526744,11526744,B2,2022-12-13,2017-05-31,ipg221213.xml
10331141,10331141,B2,2019-06-25,2016-06-30,ipg190625.xml
10738456,10738456,B2,2020-08-11,2016-01-13,ipg200811.xml
9823658,9823658,B1,2017-11-21,2016-12-22,ipg171121.xml
9965965,9965965,B1,2018-05-08,2017-04-05,ipg180508.xml
9802661,9802661,B1,2017-10-31,2016-10-28,ipg171031.xml
10259514,10259514,B2,2019-04-16,2017-09-27,ipg190416.xml
11167812,11167812,B2,2021-11-09,2019-03-29,ipg211109.xml
9964948,9964948,B2,2018-05-08,2017-02-10,ipg180508.xml
9784599,9784599,B1,2017-10-10,2012-10-17,ipg171010.xml
10162698,10162698,B2,2018-12-25,2016-06-01,ipg181225.xml
10846167,10846167,B2,2020-11-24,2018-11-29,ipg201124.xml
9736699,9736699,B1,2017-08-15,2015-07-28,ipg170815.xml
10967970,10967970,B2,2021-04-06,2017-02-03,ipg210406.xml
10997329,10997329,B2,2021-05-04,2016-02-01,ipg210504.xml
10217207,10217207,B2,2019-02-26,2017-01-20,ipg190226.xml
10853931,10853931,B2,2020-12-01,2019-01-11,ipg201201.xml
10521973,10521973,B2,2019-12-31,2015-12-17,ipg191231.xml
10044563,10044563,B2,2018-08-07,2015-12-22,ipg180807.xml
10547507,10547507,B2,2020-01-28,2018-04-26,ipg200128.xml
9921068,9921068,B2,2018-03-20,2017-03-09,ipg180320.xml
9990836,9990836,B2,2018-06-05,2017-01-17,ipg180605.xml
9940222,9940222,B2,2018-04-10,2015-11-20,ipg180410.xml
9961572,9961572,B2,2018-05-01,2016-10-24,ipg180501.xml
10363684,10363684,B2,2019-07-30,2016-12-09,ipg190730.xml
9575491,9575491,B1,2017-02-21,2015-09-03,ipg170221.xml
10444256,10444256,B2,2019-10-15,2015-08-07,ipg191015.xml
9995086,9995086,B2,2018-06-12,2014-12-09,ipg180612.xml
10168287,10168287,B2,2019-01-01,2015-06-12,ipg190101.xml
11009469,11009469,B2,2021-05-18,2018-12-29,ipg210518.xml
10925536,10925536,B2,2021-02-23,2015-01-05,ipg210223.xml
9494940,9494940,B1,2016-11-15,2015-11-04,ipg161115.xml
9547977,9547977,B2,2017-01-17,2016-07-19,ipg170117.xml
10315740,10315740,B2,2019-06-11,2014-11-05,ipg190611.xml
9789628,9789628,B2,2017-10-17,2014-09-30,ipg171017.xml
10228278,10228278,B2,2019-03-12,2013-11-22,ipg190312.xml
9652985,9652985,B2,2017-05-16,2015-11-24,ipg170516.xml
9746444,9746444,B2,2017-08-29,2014-11-24,ipg170829.xml
9302301,9302301,B2,2016-04-05,2006-12-19,ipg160405.xml
9623554,9623554,B2,2017-04-18,2015-01-07,ipg170418.xml
9266625,9266625,B1,2016-02-23,2013-04-09,ipg160223.xml
10451294,10451294,B2,2019-10-22,2015-07-14,ipg191022.xml
10324223,10324223,B2,2019-06-18,2015-01-13,ipg190618.xml
9537954,9537954,B2,2017-01-03,2015-05-19,ipg170103.xml
10140786,10140786,B2,2018-11-27,2016-12-29,ipg181127.xml
10805396,10805396,B2,2020-10-13,2018-09-12,ipg201013.xml
9162753,9162753,B1,2015-10-20,2013-12-31,ipg151020.xml
9720411,9720411,B2,2017-08-01,2014-02-25,ipg170801.xml
9430318,9430318,B2,2016-08-30,2014-01-27,ipg160830.xml
9569061,9569061,B2,2017-02-14,2013-12-26,ipg170214.xml
9094816,9094816,B2,2015-07-28,2014-12-22,ipg150728.xml
9019117,9019117,B1,2015-04-28,2012-09-29,ipg150428.xml
9245436,9245436,B1,2016-01-26,2014-08-21,ipg160126.xml
9508243,9508243,B1,2016-11-29,2015-12-13,ipg161129.xml
10346747,10346747,B2,2019-07-09,2013-11-15,ipg190709.xml
10346745,10346745,B2,2019-07-09,2013-09-05,ipg190709.xml
8949042,8949042,B1,2015-02-03,2014-04-02,ipg150203.xml
8892347,8892347,B1,2014-11-18,2013-06-01,ipg141118.xml
9277632,9277632,B2,2016-03-01,2014-04-29,ipg160301.xml
