file,year,url,patents_covered
ipa180517.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180517.zip,2
ipa180524.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180524.zip,1
ipa180607.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180607.zip,2
ipa180712.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180712.zip,1
ipa180823.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180823.zip,1
ipa180830.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180830.zip,1
ipa180913.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180913.zip,2
ipa180920.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa180920.zip,2
ipa181004.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181004.zip,1
ipa181108.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181108.zip,1
ipa181115.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181115.zip,1
ipa181129.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181129.zip,2
ipa181206.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181206.zip,1
ipa181213.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181213.zip,2
ipa181227.zip,2018,https://data.uspto.gov/ui/datasets/products/files/APPXML/2018/ipa181227.zip,2
ipa190124.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190124.zip,2
ipa190131.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190131.zip,1
ipa190207.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190207.zip,2
ipa190214.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190214.zip,2
ipa190228.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190228.zip,1
ipa190321.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190321.zip,1
ipa190328.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190328.zip,3
ipa190411.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190411.zip,1
ipa190418.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190418.zip,1
ipa190425.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190425.zip,1
ipa190502.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190502.zip,3
ipa190516.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190516.zip,1
ipa190523.zip,2019,https://data.uspto.gov/ui/datasets/products/files/APPXML/2019/ipa190523.zip,1
