citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text,cited_ipc3
8725665,2010/0114387,20100114387,US,,,,cited by applicant,patcit,,
8725665,2010/0169226,20100169226,US,,,,cited by applicant,patcit,,
8725665,2010/0185557,20100185557,US,,,,cited by applicant,patcit,,
8725665,2010/0207728,20100207728,US,,,,cited by applicant,patcit,,
8725665,2010/0306014,20100306014,US,,,,cited by applicant,patcit,,
8725665,2010/0332373,20100332373,US,,,,cited by applicant,patcit,,
8725665,2011/0172973,20110172973,US,,,,cited by applicant,patcit,,
8725665,2011/0175750,20110175750,US,,,,cited by applicant,patcit,,
8725665,2011/0231213,20110231213,US,,,,cited by applicant,patcit,,
8725665,2011/0264276,20110264276,US,,,,cited by applicant,patcit,,
8725665,2011/0282703,20110282703,US,,,,cited by applicant,patcit,,
8725665,2012/0029677,20120029677,US,,,,cited by applicant,patcit,,
8725665,2012/0072039,20120072039,US,,,,cited by applicant,patcit,,
8725665,2012/0146799,20120146799,US,,,,cited by applicant,patcit,,
8725665,2012/0197558,20120197558,US,,,,cited by applicant,patcit,,
8725665,2012/0200423,20120200423,US,,,,cited by applicant,patcit,,
8725665,2013/0080205,20130080205,US,,,,cited by applicant,patcit,,
8725665,2013/0232094,20130232094,US,,,,cited by applicant,patcit,,
8731724,2812141,2812141,US,,,,cited by applicant,patcit,,
8731724,3181791,3181791,US,,,,cited by applicant,patcit,,
8731724,3641326,3641326,US,,,,cited by applicant,patcit,,
8731724,3998093,3998093,US,,,,cited by applicant,patcit,,
8731724,4114807,4114807,US,,,,cited by applicant,patcit,,
8731724,4182180,4182180,US,,,,cited by applicant,patcit,,
8731724,4199101,4199101,US,,,,cited by applicant,patcit,,
8731724,4211089,4211089,US,,,,cited by applicant,patcit,,
8731724,4213174,4213174,US,,,,cited by applicant,patcit,,
8731724,4257238,4257238,US,,,,cited by applicant,patcit,,
8731724,4319461,4319461,US,,,,cited by applicant,patcit,,
8731724,4325223,4325223,US,,,,cited by applicant,patcit,,
8731724,4432031,4432031,US,,,361 97,cited by examiner,patcit,,
8731724,4512161,4512161,US,,,,cited by applicant,patcit,,
8731724,4557317,4557317,US,,,,cited by applicant,patcit,,
8731724,4558595,4558595,US,,,,cited by applicant,patcit,,
8731724,4607789,4607789,US,,,,cited by applicant,patcit,,
8731724,4611470,4611470,US,,,,cited by applicant,patcit,,
8731724,4622922,4622922,US,,,,cited by applicant,patcit,,
8731724,4749122,4749122,US,,,,cited by applicant,patcit,,
8731724,4776301,4776301,US,,,,cited by applicant,patcit,,
8731724,4802100,4802100,US,,,,cited by applicant,patcit,,
8731724,4866635,4866635,US,,,,cited by applicant,patcit,,
8731724,4876858,4876858,US,,,,cited by applicant,patcit,,
8731724,4897798,4897798,US,,,,cited by applicant,patcit,,
8731724,4916909,4916909,US,,,,cited by applicant,patcit,,
8731724,4942740,4942740,US,,,,cited by applicant,patcit,,
8731724,4964126,4964126,US,,,,cited by applicant,patcit,,
8731724,5074137,5074137,US,,,,cited by applicant,patcit,,
8731724,5090303,5090303,US,,,,cited by applicant,patcit,,
8731724,5099436,5099436,US,,,,cited by applicant,patcit,,
8731724,5103391,5103391,US,,,,cited by applicant,patcit,,
8731724,5115967,5115967,US,,,,cited by applicant,patcit,,
8731724,5189606,5189606,US,,,,cited by applicant,patcit,,
8731724,5218525,5218525,US,,,,cited by applicant,patcit,,
8731724,5251814,5251814,US,,,,cited by applicant,patcit,,
8731724,5253159,5253159,US,,,,cited by applicant,patcit,,
8731724,5274571,5274571,US,,,,cited by applicant,patcit,,
8731724,5299312,5299312,US,,,,cited by applicant,patcit,,
8731724,5315502,5315502,US,,,,cited by applicant,patcit,,
8731724,5346129,5346129,US,,,,cited by applicant,patcit,,
8731724,5351855,5351855,US,,,,cited by applicant,patcit,,
8731724,5355305,5355305,US,,,,cited by applicant,patcit,,
8731724,5414640,5414640,US,,,,cited by applicant,patcit,,
8731724,5426421,5426421,US,,,,cited by applicant,patcit,,
8731724,5461877,5461877,US,,,,cited by applicant,patcit,,
8731724,5467287,5467287,US,,,,cited by applicant,patcit,,
8731724,5481481,5481481,US,,,,cited by applicant,patcit,,
8731724,5506768,5506768,US,,,,cited by applicant,patcit,,
8731724,5528516,5528516,US,,,,cited by applicant,patcit,,
8731724,5552763,5552763,US,,,,cited by applicant,patcit,,
8731724,5555195,5555195,US,,,,cited by applicant,patcit,,
8731724,5557546,5557546,US,,,,cited by applicant,patcit,,
8731724,5566084,5566084,US,,,,cited by applicant,patcit,,
